Cell, Cell, Area (µm²)
3985,4002,5.17145
3985,4172,3.88664
3985,4155,43.6972
3985,4287,52.149
3985,4104,18.9089
2429,2517,31.713
2429,2931,27.8815
2429,2762,69.7428
2429,2748,3.96959
2429,2733,0.0824039
2429,3190,8.46233
2429,2635,30.4674
2429,2606,2.53608
2428,2516,17.7052
2428,2515,0.697025
2428,2494,20.1289
2428,3696,17.8928
2428,3346,10.9879
2428,2870,28.6149
2428,2869,30.5605
2428,2860,10.702
2428,2633,48.1957
2428,3144,22.8709
2428,2606,1.78303
936,1098,27.5999
936,969,47.9888
936,1600,38.0546
936,1584,3.66205
936,1222,53.8117
936,1211,12.0778
936,1196,17.9224
935,1097,36.8823
935,1086,45.13
935,980,13.2365
935,1443,0.0327728
935,1255,14.0186
935,1243,5.82392
934,1130,4.19948
934,1110,37.2063
934,1052,12.454
934,991,36.8146
934,1637,29.0813
934,1596,18.9182
934,1530,14.4435
934,1529,5.51836
934,1473,27.7868
934,1298,7.67241
934,1254,0.0788485
934,1243,27.9671
3984,4553,1.4296
3984,4200,3.76159
3984,4013,11.0279
3984,4141,11.7611
3984,4121,23.4384
3984,4275,42.0497
3984,4071,5.2845
3984,4371,29.6432
932,1083,16.5292
932,1076,1.85863
932,1018,1.24829
932,1002,10.3999
932,978,15.6567
932,1544,0.0281069
932,1426,1.59741
932,1392,55.497
932,1368,42.6353
932,1348,13.1624
3982,4185,11.0098
3982,4326,9.7979
